title,price,tikinow,freeship,reviews,product_id,link,rating_value,image url,badge under price,discount percentage,installment,free gifts,dis_percentage
AdMáy Đọc Sách Kindle Fire HD 10 (Đen) - Hàng Nhập Khẩu,3200000,No,No,7,8075882681342,https://tiki.vn/may-doc-sach-kindle-fire-hd-10-den-hang-nhap-khau-p2119907.html?spid=18005849&src=ss-ads,0,https://salt.tikicdn.com/cache/280x280/ts/product/27/db/8c/1dabc79561a94b328d6c445cf437bc27.jpg,Yes,,No,No,16
Điện Thoại iPhone 12 Mini 64GB - Hàng Chính Hãng,16950000,Yes,Yes,85,1986302284708,https://tiki.vn/dien-thoai-iphone-12-mini-64gb-hang-chinh-hang-p71201117.html?src=ss-organic,0,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,No,,Yes,No,23
Điện Thoại Vsmart Star 5 (3GB/32GB) - Hàng Chính Hãng,2290000,Yes,No,26,7793260870457,https://tiki.vn/dien-thoai-vsmart-star-5-3gb-32gb-hang-chinh-hang-p85255906.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/67/49/ef/f6ac7c4c1d3f40a0111e81d0b08d5acc.jpg,No,,No,No,15
Máy đọc sách Kindle Oasis 3 (2019) - Amazon - Hàng nhập khẩu,6788000,No,No,9,4067640878754,https://tiki.vn/may-doc-sach-kindle-oasis-3-2019-amazon-hang-nhap-khau-p43924153.html?src=ss-organic,5,https://salt.tikicdn.com/cache/280x280/ts/product/93/b9/e5/0fd5b3441b6567eb7f2c306ca821670a.jpg,No,,Yes,No,17
AdMáy tính bảng Kindle Fire HD8 Model 2020 - 32GB - Hàng nhập khẩu,2180000,No,No,7,1881039076124,https://tiki.vn/may-tinh-bang-kindle-fire-hd8-model-2020-32gb-hang-nhap-khau-p67085908.html?spid=67085910&src=ss-ads,0,https://salt.tikicdn.com/cache/280x280/ts/product/e9/20/d4/6d20dfbd10ec451819a11be7fdae63ca.jpg,No,,No,No,27
Điện Thoại Samsung Galaxy A02s (4GB/64GB) -  ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ - Hàng Chính Hãng,2990000,Yes,No,5,4056329092075,https://tiki.vn/dien-thoai-samsung-galaxy-a02s-4gb-64gb-da-kich-hoat-bao-hanh-dien-tu-hang-chinh-hang-p75321775.html?src=ss-organic,5,https://salt.tikicdn.com/cache/280x280/ts/product/d2/ac/f1/faa628d0b653e06324d7c74a14b1bf02.jpg,No,,No,No,29
Máy Tính Bảng Samsung Galaxy Tab S7 Plus T975 (6GB/128GB) - ĐÃ KÍCH HOẠT BẢO HÀNH ĐIỆN TỬ - Hàng Chính Hãng,16990000,Yes,No,16,5932297023426,https://tiki.vn/may-tinh-bang-samsung-galaxy-tab-s7-plus-t975-6gb-128gb-da-kich-hoat-bao-hanh-dien-tu-hang-chinh-hang-p87150845.html?src=ss-organic,5,https://salt.tikicdn.com/cache/280x280/ts/product/55/37/ae/e4965a029fc2f485b4e2566bbf6f7c87.jpg,Yes,,Yes,No,29
Điện Thoại Samsung Galaxy A10s (2GB/32GB) - Hàng Chính Hãng,2350000,Yes,No,342,6948945463990,https://tiki.vn/dien-thoai-samsung-galaxy-a10s-32gb-2gb-hang-chinh-hang-p25918805.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/d7/84/2e/cb10342d637fe64e335dbd27f4f1700c.jpg,No,,No,No,36
"AdĐiện thoại Forme Duos 1900, màn hình 2.8inch, pin 1900mAh, font chữ lớn - Phân phối chính hãng",310000,No,No,16,9618304762077,https://tiki.vn/dien-thoai-forme-duos-1900-man-hinh-2-8inch-pin-1900mah-font-chu-lon-phan-phoi-chinh-hang-p47994410.html?spid=47994412&src=ss-ads,0,https://salt.tikicdn.com/cache/280x280/ts/product/2b/69/0b/6852ab1e8a5e531485c70d363f117adb.jpg,No,,No,No,14
Điện Thoại Oppo Reno 5 (8GB/128G) - Hàng Chính Hãng,6990000,Yes,No,31,5566079230069,https://tiki.vn/dien-thoai-oppo-reno-5-8gb-128g-hang-chinh-hang-p74489817.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/3b/bc/93/99cfcf5400182bf7f17adb53141825c0.jpg,No,,Yes,No,22
iPad Pro 11 inch (2020) 128GB Wifi  - Hàng  Chính Hãng,20450000,Yes,No,36,3631090745167,https://tiki.vn/ipad-pro-11-inch-2020-128gb-wifi-hang-chinh-hang-p74558946.html?src=ss-organic,5,https://salt.tikicdn.com/cache/280x280/ts/product/86/dc/72/0ab06d21b1d4bd5d4adcc2fec6dfbaa9.jpg,No,,Yes,No,7
Điện Thoại Samsung Galaxy A12 (4GB/128GB) - Hàng Chính Hãng,3690000,Yes,No,62,2007814764133,https://tiki.vn/dien-thoai-samsung-galaxy-a12-4gb-128gb-hang-chinh-hang-p74932860.html?src=ss-organic,0,https://salt.tikicdn.com/cache/280x280/ts/product/09/90/19/e692e2fdc1810e5b792b07b3ddfe5e9d.jpg,No,,Yes,No,14
